iter	Passed	Remaining
877	5851	813
878	5856	806
879	5862	799
880	5867	792
881	5872	785
882	5879	779
883	5885	772
884	5890	765
885	5896	758
886	5902	752
887	5908	745
888	5914	738
889	5919	731
890	5925	724
891	5931	718
892	5937	711
893	5943	704
894	5948	697
895	5954	691
896	5959	684
897	5965	677
898	5970	670
899	5976	664
900	5981	657
901	5986	650
902	5991	643
903	5997	636
904	6002	630
905	6008	623
906	6014	616
907	6019	609
908	6025	603
909	6031	596
910	6037	589
911	6043	583
912	6050	576
913	6056	569
914	6062	563
915	6068	556
916	6075	549
917	6080	543
918	6086	536
919	6091	529
920	6097	522
921	6102	516
922	6107	509
923	6112	502
924	6118	496
925	6123	489
926	6128	482
927	6133	475
928	6139	469
929	6143	462
930	6148	455
931	6153	448
932	6157	442
933	6162	435
934	6167	428
935	6171	421
936	6176	415
937	6180	408
938	6185	401
939	6190	395
940	6194	388
941	6198	381
942	6203	374
943	6208	368
944	6212	361
945	6217	354
946	6221	348
947	6225	341
948	6228	334
949	6232	328
950	6236	321
951	6240	314
952	6244	307
953	6249	301
954	6253	294
955	6256	287
956	6260	281
957	6264	274
958	6268	267
959	6272	261
960	6276	254
961	6280	248
962	6284	241
963	6288	234
964	6292	228
965	6295	221
966	6300	214
967	6303	208
968	6307	201
969	6311	195
970	6315	188
971	6319	182
972	6322	175
973	6326	168
974	6330	162
975	6334	155
976	6338	149
977	6342	142
978	6346	136
979	6349	129
980	6354	123
981	6358	116
982	6362	110
983	6366	103
984	6370	97
985	6373	90
986	6378	84
987	6381	77
988	6385	71
989	6389	64
990	6393	58
991	6397	51
992	6401	45
993	6405	38
994	6409	32
995	6412	25
996	6416	19
997	6420	12
998	6423	6
999	6427	0
